frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
354.74,1.43,1.43,1.43,1.43,-1.43,-1.17,-0.00,-0.00,0.00
358.28,1.43,1.43,1.43,1.43,-1.43,-1.16,-0.00,-0.00,0.00
361.87,1.43,1.43,1.43,1.43,-1.43,-1.16,-0.00,-0.00,0.00
365.49,1.43,1.43,1.43,1.43,-1.43,-1.15,-0.00,-0.00,0.00
369.14,1.43,1.43,1.43,1.43,-1.43,-1.15,0.00,0.00,0.00
372.83,1.43,1.43,1.42,1.42,-1.42,-1.15,0.00,0.00,0.00
376.56,1.42,1.42,1.42,1.42,-1.41,-1.14,0.00,0.00,0.00
380.33,1.40,1.40,1.40,1.40,-1.40,-1.14,0.00,0.00,0.00
384.13,1.39,1.39,1.38,1.38,-1.38,-1.14,0.00,0.00,0.00
387.97,1.36,1.36,1.36,1.36,-1.36,-1.14,0.00,0.00,0.00
391.85,1.33,1.33,1.33,1.33,-1.32,-1.15,0.00,0.00,0.00
395.77,1.29,1.29,1.29,1.29,-1.29,-1.15,0.00,-0.00,0.00
399.73,1.25,1.25,1.25,1.25,-1.25,-1.15,-0.00,-0.00,0.00
403.72,1.20,1.20,1.20,1.20,-1.20,-1.16,-0.00,0.00,0.00
407.76,1.15,1.15,1.15,1.15,-1.15,-1.17,0.00,0.00,0.00
411.84,1.09,1.09,1.09,1.09,-1.09,-1.17,0.00,0.00,0.00
415.96,1.03,1.03,1.03,1.03,-1.03,-1.18,0.00,0.00,0.00
420.12,0.97,0.97,0.97,0.97,-0.97,-1.19,0.00,0.00,0.00
